state,medicaid_aba_pathway,medicaid_agency,prior_auth,autism_insurance_mandate,typical_hours,medicaid_rate,waiver_programs,bcba_licensure,sources
Alabama,ABA covered fee-for-service under EPSDT for under-21s with autism dx; Alabama Medicaid Mental Health services area (Provider Billing Manual Ch. 37); no MCOs — ACHN network is primary-care coordination only,Alabama Medicaid Agency; medicaid.alabama.gov; recipient line 1-800-362-1504 (verify),"Rendering/supervising BCBA submits PA with physician EPSDT Referral Form 362, 97151 assessment report with data/graphs, treatment plan and caregiver training plan; every ABA code except 97151 requires PA, approved in 6-month increments","HB284 (2017), eff. 10/1/2017, ages 18 and under; annual caps $40K (0-9)/$30K (10-13)/$20K (14-18), but caps/age limit generally unenforced as MHPAEA violations; applies to large-group (51+ employee) plans",Not published — set case-by-case by medical necessity in 6-month authorization blocks; industry-typical 10-40 hrs/wk (verify),"97153 = $10.00 per 15-min unit ($40.00/hr), official Alabama Medicaid ABA Fee Schedule eff. 2-5-2026","ID Waiver, Living at Home (LAH) Waiver, Community Waiver Program (CWP) — ADMH-operated, require intellectual-disability/ICF level of care; no autism-specific waiver",Yes — 2017 HB284 created licensure and the Alabama Behavior Analyst Licensing Board (2026 SB113 (verify) moved administration under AL Dept of Mental Health; board now advisory),https://medicaid.alabama.gov/content/Gated/7.3G_Fee_Schedules.aspx | https://medicaid.alabama.gov/documents/9.0_Resources/9.4_Forms_Library/9.4.14_PA_Forms/9.4.14_ABA_PA_Tip_Sheet_12-31-19.pdf | https://www.autismlegalresourcecenter.com/resources/autism-healthcare-info/alabama/
Alaska,ABA covered fee-for-service (no MCOs) for under-21s via EPSDT as Medicaid Autism Services under Division of Behavioral Health regs (7 AAC 135; rates at 7 AAC 160.900(d)(73)); Denali KidCare (CHIP) children included,Alaska Department of Health — Division of Health Care Services administers Medicaid/EPSDT; Division of Behavioral Health sets autism-services rates; provider assistance: mpassunit@alaska.gov; health.alaska.gov,"Licensed behavior analyst submits a service authorization to Alaska Medicaid before treatment begins, with autism diagnosis, a 97151 behavioral assessment, and a signed ABA treatment plan whose hours match the request","SB 74 (2012, effective 1/1/2013), AS 21.42.397; requires coverage of ASD diagnosis and treatment incl. ABA for individuals under 21; no annual dollar caps (age limit unenforceable under federal mental health parity)",Not published; hours authorized per individual treatment plan; supervision/group codes 97155+97158 limited to 52 hours per 6 months (verify),"97153 = $22.63 per 15-min unit ($90.52/hr), FY26 Autism Services fee schedule effective 7/1/2025","IDD Waiver and ISW (Individualized Supports Waiver, ~$25,924/yr cost cap FY25), both run by Senior and Disabilities Services; ISW covers autism/IDD at ICF/IID level of care","Yes — HB 361 (2014, effective 9/16/2014), AS 08.15; licensed by Div. of Corporations, Business & Professional Licensing (Alaska Dept. of Commerce)",https://health.alaska.gov/media/v5fhgwcf/fy26-applied-behavior-analysis-fee-schedule-v4.pdf | https://health.alaska.gov/en/division-of-health-care-services/early-periodic-screening-epsdt/ | https://www.commerce.alaska.gov/web/cbpl/professionallicensing/behavioranalysts.aspx
Arizona,"Covered for members under 21 via EPSDT under AHCCCS (Arizona's Medicaid, an 1115-waiver managed-care system; AMPM Policy 320-S); delivered through AHCCCS Complete Care MCO plans, or via DES/DDD health plans for ALTCS members with DD",AHCCCS — Arizona Health Care Cost Containment System; azahcccs.gov; 602-417-4000 (verify); DDD services via DES (des.az.gov/ddd),"Provider submits prior authorization to the member's AHCCCS health plan or DDD with an autism/ASD diagnosis, comprehensive assessment, and a medical-necessity treatment plan from a qualified licensed behavior analyst (plan-specific forms vary)","Steven's Law (HB 2847), enacted 2008 (effective 6/30/2009); caps behavioral therapy at $50,000/yr under age 9 and $25,000/yr ages 9-16; excludes self-funded ERISA and small-group (<50) plans",No fixed cap under Medicaid/EPSDT — medical necessity; reportedly up to ~40 hrs/wk for comprehensive programs (verify),AHCCCS FFS ABA fee schedule eff. 10/1/2025: 97153 $17.91/15-min base ($71.64/hr); $19.96/15-min in-home POS 12 ($79.84/hr); higher credential tiers (HN/HO/HP) up to $23.69-$26.43/unit,"ALTCS (Arizona Long Term Care System) via DES Division of Developmental Disabilities for members with autism/DD meeting institutional level of care; AZ runs Medicaid under a Section 1115 waiver, no separate 1915(c) autism waiver","Yes — licensed behavior analysts under the Arizona Board of Psychologist Examiners; law enacted 2008 (Laws 2008, Ch. 288), licensure effective Jan 1, 2011",https://www.azahcccs.gov/PlansProviders/RatesAndBilling/FFS/ABArates.html | https://psychboard.az.gov/about-board | https://www.autismspeaks.org/arizona-state-regulated-insurance-coverage
Arkansas,"State-plan EPSDT benefit: ABA covered ages 18 mo-21 yr with ASD diagnosis; small legacy Autism Waiver (ages 18 mo-5 yr, max 3 yrs, waitlisted) runs separately; PASSE managed-care enrollees (BH/DD needs) request ABA via their PASSE care coordinator",Arkansas DHS Division of Medical Services (Arkansas Medicaid); humanservices.arkansas.gov; ABA PA reviews by Acentra Health 1-888-660-3831,"ABA provider submits PA to Acentra Health (DHS's QIO review entity) with ASD diagnosis, physician-signed DMS-641 TP treatment prescription and DMS-641 ER evaluation referral, reviewed by BCBA reviewers; PASSE members route via care coordinator","Act 196 of 2011 (Ark. Code 23-99-418), eff. 10/1/2011: ABA by/under a BCBA capped at $50,000/yr for children under 18",Not published; weekly units individualized per treatment prescription and prior authorization (verify),"97153 (EP modifier) = $15.00 per 15-min unit ($60.00/hr), DHS fee schedule run date 1/1/2025","Autism Waiver (early intervention, ages 18 mo-5 yr, 3-yr max, waitlist); Community and Employment Supports (CES) waiver for IDD incl. autism, all ages, long waitlist","Registration, not full licensure: Arkansas Behavior Analyst Registration Act (Act 432 of 2025, Ark. Code 17-97-601), administered by the Arkansas Psychology Board; requires BCBA/BCBA-D",https://humanservices.arkansas.gov/wp-content/uploads/ABATHERAPY-fees.pdf | https://humanservices.arkansas.gov/divisions-shared-services/developmental-disabilities-services/service-for-children-with-dd-id-needs/autism/ | https://ar.acentra.com/applied-behavioral-analysis-aba/
California,"Medi-Cal covers ABA as Behavioral Health Treatment (BHT) under EPSDT for members under 21; delivered via Medi-Cal managed care plans, or for fee-for-service via DDS Regional Centers or (since 7/1/2025) enrolled Medi-Cal QAS providers",California Department of Health Care Services (DHCS); Medi-Cal Member Help Line (800) 541-5555; dhcs.ca.gov,"Physician or psychologist must recommend BHT as medically necessary; the Qualified Autism Service (QAS) Provider submits an individualized behavioral treatment plan to the managed care plan (or Regional Center/DHCS for FFS), re-reviewed every 6 months","SB 946 (2011), effective July 1, 2012; requires state-regulated plans to cover behavioral health treatment for autism/PDD; no age or dollar caps in current law","No state cap — hours set by medical necessity in the treatment plan; provider reports cite ~10-25 hrs/wk focused, 30-40 hrs/wk comprehensive (verify)","97153 = $19.39 per 15-min unit (~$77.56/hr) per DHCS SPA 25-0028 FFS BHT fee schedule eff. 7/1/2025, pending CMS approval (verify)","HCBS-DD Waiver (1915(c), administered by DDS through 21 Regional Centers) and Self-Determination Program waiver; both waive parental income via institutional deeming",No — California does not license behavior analysts (one of few remaining states); BCBA certification is the recognized standard; licensure bills have not passed (verify bill history),https://www.dhcs.ca.gov/services/medi-cal-resources/behavioral-health-treatment/ | https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201120120SB946 | https://www.dhcs.ca.gov/SPA/Documents/25-0028-Public-Notice-Addendum.pdf
Colorado,EPSDT Pediatric Behavioral Therapies (PBT) benefit under Health First Colorado for members age 20 and under; fee-for-service with PARs reviewed by Acentra (Atrezzo portal); RAEs coordinate care,"Dept. of Health Care Policy & Financing (HCPF), hcpf.colorado.gov","PA required for ALL PBT services: provider assesses child and submits PAR to Acentra with standardized norm-referenced adaptive behavior assessment, referral for services, and plan of care; approvals valid up to 6 months","SB 09-244 enacted 2009 (eff. 7/1/2010); all age and dollar caps removed by SB 15-015, eff. 1/1/2017",No hard cap; individualized via PAR; provider-reported typical authorizations ~10-40 hrs/week (verify),97153 = $17.20/15-min unit ($68.80/hr) per HCPF FY25-26 fee schedule via secondary compilations (verify against HCPF XLSX),"Children's Extensive Support (CES) waiver; Children with Complex Health Needs (CwCHN, formerly CHCBS)",Yes — HB 26-1425 signed June 2026; Colorado Behavior Analyst Licensing Board; individual LBA licensure required by 7/1/2028 (no license previously),https://hcpf.colorado.gov/pediatric-behavioral-therapies-information-providers | https://hcpf.colorado.gov/childrens-extensive-support-waiver-ces | https://www.autismspeaks.org/colorado-state-regulated-insurance-coverage
Connecticut,"EPSDT ASD benefit under HUSKY Health (A/C/D) for under-21, effective 1/1/2015; administered by CT Behavioral Health Partnership with Carelon Behavioral Health as the ASO authorizing ABA","Dept. of Social Services (DSS); Carelon/CTBHP 1-877-552-8247, ctbhp.com",Carelon BH authorizes all ASD/ABA services: provider submits diagnostic evaluation and medical-necessity documentation meeting level-of-care guidelines before treatment,"PA 09-115 enacted 2009 (eff. 1/1/2010), originally under age 15; caps removed via 2014 Insurance Dept. bulletins HC-96/HC-99",Not published; individualized under EPSDT with no benefit caps (verify),97153 last confirmed $11.25/15-min unit (2023); BH rates raised 7/1/2024 (SPA 24-Y) — secondary source lists $14.00/unit ($56/hr) (verify at ctdssmap fee schedule),"DDS Autism Spectrum Services Waiver (autism without ID, ~$50k/yr cap, waitlist); DDS IFS and Comprehensive waivers (ID)","Yes — Public Act 15-5 (2015), licensure effective 1/1/2016; licensed by CT Dept. of Public Health",https://www.ctbhp.com/autism-spectrum-disorder-asd/ | https://portal.ct.gov/DSS/Health-And-Home-Care/Autism-Spectrum-Disorder---ASD/Autism-Spectrum-Disorder---ASD/Become-a-Provider | https://www.ctdssmap.com
Delaware,"EPSDT ABA coverage for under-21 via Diamond State Health Plan managed care (Highmark Health Options, AmeriHealth Caritas DE, Delaware First Health); DHSS Regulation 1170 sets ABA provider standards","DHSS Division of Medicaid & Medical Assistance (DMMA), dhss.delaware.gov/dmma",PA required through the member's MCO: diagnostic evaluation plus BCBA/BCBA-D treatment plan meeting plan medical-necessity policy; some plan-specific rules (e.g. AmeriHealth requires PA after 30 BH units/yr),"SB 22 enacted 2012 (eff. 12/11/2012); under age 21; ABA capped at $36,000/yr, CPI-adjusted annually; no visit limits",Not published (verify),~$15.68/15-min unit (~$62.72/hr) per secondary compilation only; official DMAP fee schedule not publicly posted — not published (verify),"DDDS Lifespan Waiver (autism, IDD, Prader-Willi; replaced separate child/adult waivers)",No state behavior analyst license; BCBA/BCBA-D certification is the recognized standard under DHSS Reg 1170 and insurance law,https://dhss.delaware.gov/dmma/ | https://law.justia.com/codes/delaware/title-18/chapter-33/subchapter-i/section-3366/ | https://www.autismspeaks.org/delaware-state-regulated-insurance-coverage
District of Columbia,"ABA covered under EPSDT via State Plan Amendment 23-0009 (approved 8/25/2023, effective 10/1/2023); access runs largely through Medicaid managed-care plans - AmeriHealth Caritas DC, MedStar Family Choice, CareFirst CHPDC, and HSCSN for children with special needs",DC Department of Health Care Finance (DHCF); dhcf.dc.gov,"MCOs require prior authorization with a comprehensive diagnostic evaluation, documentation of medical necessity, and a treatment plan from the supervising BCBA; fee-for-service PA goes to DHCF's CPAPS division (719A form with prescribing provider's clinical notes)","Habilitative services mandate (D.C. Law 16-198, 2006) requires fully-insured plans to cover ABA/OT/PT/speech for autism; 2013-2014 amendments explicitly named ABA in the habilitative-services definition; no arbitrary session or dollar caps when medically necessary",Not published; individualized by treatment plan (verify),97153: $27.50/15 min (= $110.00/hr) per third-party transcription - DHCF publishes rates only via its provider-portal query (verify),"DDS-administered HCBS waivers: IDD Waiver and Individual and Family Support (IFS) Waiver (adults 18+, IFS capped $75,000/yr; DDS waiver unit 202-730-1556); HSCSN plan for children on SSI",Yes - law enacted 2024; DC Board of Psychology,https://dhcf.dc.gov/page/dhcf-medicaid-updates2023; https://dds.dc.gov/ifs-waiver; https://www.autismspeaks.org/district-columbia-state-regulated-insurance-coverage
Florida,Behavior Analysis (BA) services under EPSDT for under-21; PA via Acentra (formerly eQHealth) QIO for fee-for-service; carved into Statewide Medicaid Managed Care (SMMC) plans Feb 2025; age 21+ get BA via APD iBudget waiver,Agency for Health Care Administration (AHCA); Medicaid helpline 1-877-254-1055,All BA services require PA: provider submits comprehensive diagnostic evaluation and behavior analysis treatment plan per Coverage Policy sec. 9 to the recipient's SMMC plan (or Acentra for non-enrolled FFS recipients),"Steven A. Geller Autism Coverage Act (SB 2654) enacted 2008 (eff. 4/1/2009); $36,000/yr and $200,000 lifetime caps; limited to eligible children (under 18 or in high school, diagnosed at 8 or younger (verify))",No fixed weekly cap in policy; individualized by PA (verify),"97153 = $12.26/15-min unit ($49.04/hr), AHCA Behavior Analysis Fee Schedule eff. 1/1/2025 (unchanged into 2026)",APD iBudget Waiver (DD home & community-based services),No state behavior analyst license; practice via BACB cert + FL certification under s.393.17 or ch. 490/491 licensees; licensure bills pending (verify),https://ahca.myflorida.com/content/download/26138/file/2025%20Behavior%20Analysis%20Fee%20Schedule.pdf | https://b.ahca.myflorida.com/medicaid/Policy_and_Quality/Policy/behavioral_health_coverage/bhfu/BA_Services.shtml | https://www.autismspeaks.org/florida-state-regulated-insurance-coverage
